
station_id,instances
2,149
3,361
4,1623
5,1022
6,1295
7,523
8,230
9,99
10,1015
11,460
12,108
13,483
14,233
16,210
21,195
22,557
24,217
25,219
26,134
27,2433
28,74
29,179
30,286
31,729
32,4120
33,250
34,279
35,330
37,1120
38,62
39,1608
41,5178
42,1878
45,6324
46,605
47,2111
48,5439
49,1231
50,1899
51,2662
54,2689
55,4010
56,1229
57,3335
58,650
59,604
60,7485
61,793
62,6914
63,2478
64,2549
65,3712
66,2016
67,5520
68,1316
69,1938
70,5897
71,3098
72,1118
73,6608
74,825
75,3624
76,3273
77,649
80,145
82,4731
83,33
84,613
87,50
