
subscriber_type,duration_min
Customer,1.0
Customer,1.0
Customer,1.0
Customer,1.0
Customer,1.0
Customer,1.0
Customer,1.0
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.02
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.03
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.05
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.07
Customer,1.08
Customer,1.08
Customer,1.08
Customer,1.08
Customer,1.08
Customer,1.08
Customer,1.08
Customer,1.08
Customer,1.08
Customer,1.08
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.1
Customer,1.12
Customer,1.12
Customer,1.12
Customer,1.12
Customer,1.12
Customer,1.12
Customer,1.12
Customer,1.13
Customer,1.13
Customer,1.13
Customer,1.13
Customer,1.13
Customer,1.13
Customer,1.13
Customer,1.13
Customer,1.13
Customer,1.13
Customer,1.13
Customer,1.15
Customer,1.15
Customer,1.15
Customer,1.15
Customer,1.15
Customer,1.15
Customer,1.15
Customer,1.15
Customer,1.17
Customer,1.17
Customer,1.17
Customer,1.17
Customer,1.17
Customer,1.17
Customer,1.17
Customer,1.17
Customer,1.18
Customer,1.18
Customer,1.18
Customer,1.18
Customer,1.18
Customer,1.18
Customer,1.18
Customer,1.18
Customer,1.18
Customer,1.18
Customer,1.2
Customer,1.2
Customer,1.2
Customer,1.2
Customer,1.2
Customer,1.2
Customer,1.2
Customer,1.2
Customer,1.2
Customer,1.2
Customer,1.22
Customer,1.22
Customer,1.22
Customer,1.22
Customer,1.22
Customer,1.22
Customer,1.22
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.23
Customer,1.25
Customer,1.25
Customer,1.25
Customer,1.25
Customer,1.25
Customer,1.25
Customer,1.25
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.27
Customer,1.28
Customer,1.28
Customer,1.28
Customer,1.28
Customer,1.28
Customer,1.28
Customer,1.28
Customer,1.28
Customer,1.28
Customer,1.28
Customer,1.3
Customer,1.3
Customer,1.3
Customer,1.3
Customer,1.3
Customer,1.3
Customer,1.3
Customer,1.3
Customer,1.32
Customer,1.32
Customer,1.32
Customer,1.32
Customer,1.32
Customer,1.32
Customer,1.32
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.33
Customer,1.35
Customer,1.35
Customer,1.35
Customer,1.35
Customer,1.35
Customer,1.35
Customer,1.35
Customer,1.35
Customer,1.35
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.37
Customer,1.38
Customer,1.38
Customer,1.38
Customer,1.38
Customer,1.38
Customer,1.38
Customer,1.38
Customer,1.38
Customer,1.4
Customer,1.4
Customer,1.4
Customer,1.4
Customer,1.4
Customer,1.4
Customer,1.42
Customer,1.42
Customer,1.42
Customer,1.42
Customer,1.42
Customer,1.42
Customer,1.42
Customer,1.42
Customer,1.42
Customer,1.43
Customer,1.43
Customer,1.43
Customer,1.43
Customer,1.43
Customer,1.43
Customer,1.43
Customer,1.43
Customer,1.43
Customer,1.43
Customer,1.45
Customer,1.45
Customer,1.45
Customer,1.45
Customer,1.45
Customer,1.45
Customer,1.45
Customer,1.45
Customer,1.45
Customer,1.47
Customer,1.47
Customer,1.47
Customer,1.47
Customer,1.47
Customer,1.47
Customer,1.48
Customer,1.48
Customer,1.48
Customer,1.48
Customer,1.48
Customer,1.48
Customer,1.48
Customer,1.48
Customer,1.48
Customer,1.5
Customer,1.5
Customer,1.5
Customer,1.5
Customer,1.52
Customer,1.52
Customer,1.52
Customer,1.52
Customer,1.52
Customer,1.52
Customer,1.52
Customer,1.52
Customer,1.52
Customer,1.52
Customer,1.52
Customer,1.53
Customer,1.53
Customer,1.53
Customer,1.53
Customer,1.53
Customer,1.53
Customer,1.53
Customer,1.53
Customer,1.53
Customer,1.55
Customer,1.55
Customer,1.55
Customer,1.55
Customer,1.57
Customer,1.57
Customer,1.57
Customer,1.57
Customer,1.57
Customer,1.57
Customer,1.57
Customer,1.57
Customer,1.57
Customer,1.57
Customer,1.57
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.58
Customer,1.6
Customer,1.6
Customer,1.6
Customer,1.6
Customer,1.6
Customer,1.6
Customer,1.6
Customer,1.62
Customer,1.62
Customer,1.62
Customer,1.62
Customer,1.62
Customer,1.62
Customer,1.62
Customer,1.62
Customer,1.62
Customer,1.63
Customer,1.63
Customer,1.63
Customer,1.63
Customer,1.63
Customer,1.63
Customer,1.63
Customer,1.63
Customer,1.63
Customer,1.63
Customer,1.63
Customer,1.65
Customer,1.65
Customer,1.65
Customer,1.65
Customer,1.65
Customer,1.65
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.67
Customer,1.68
Customer,1.68
Customer,1.68
Customer,1.68
Customer,1.68
Customer,1.68
Customer,1.68
Customer,1.68
Customer,1.68
Customer,1.68
Customer,1.7
Customer,1.7
Customer,1.7
Customer,1.7
Customer,1.7
Customer,1.7
Customer,1.7
Customer,1.72
Customer,1.72
Customer,1.72
Customer,1.72
Customer,1.72
Customer,1.72
Customer,1.73
Customer,1.73
Customer,1.73
Customer,1.73
Customer,1.73
Customer,1.73
Customer,1.73
Customer,1.75
Customer,1.75
Customer,1.75
Customer,1.75
Customer,1.75
Customer,1.75
Customer,1.77
Customer,1.77
Customer,1.77
Customer,1.77
Customer,1.77
Customer,1.77
Customer,1.78
Customer,1.78
Customer,1.78
Customer,1.78
Customer,1.78
Customer,1.78
Customer,1.78
Customer,1.78
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.8
Customer,1.82
Customer,1.82
Customer,1.82
Customer,1.82
Customer,1.82
Customer,1.82
Customer,1.82
Customer,1.82
Customer,1.82
Customer,1.83
Customer,1.83
Customer,1.83
Customer,1.83
Customer,1.83
Customer,1.83
Customer,1.83
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.85
Customer,1.87
Customer,1.87
Customer,1.87
Customer,1.87
Customer,1.87
Customer,1.87
Customer,1.87
Customer,1.87
Customer,1.87
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.88
Customer,1.9
Customer,1.9
Customer,1.9
Customer,1.9
