
start_station_id,start_station_name,end_station_id,end_station_name,trips,avg_duration_min
50,Harry Bridges Plaza (Ferry Building),60,Embarcadero at Sansome,9150,19.8
69,San Francisco Caltrain 2 (330 Townsend),65,Townsend at 7th,8508,5.11
61,2nd at Townsend,50,Harry Bridges Plaza (Ferry Building),7620,9.7
50,Harry Bridges Plaza (Ferry Building),61,2nd at Townsend,6888,10.63
60,Embarcadero at Sansome,74,Steuart at Market,6874,8.52
65,Townsend at 7th,69,San Francisco Caltrain 2 (330 Townsend),6836,4.65
51,Embarcadero at Folsom,70,San Francisco Caltrain (Townsend at 4th),6351,11.63
70,San Francisco Caltrain (Townsend at 4th),50,Harry Bridges Plaza (Ferry Building),6215,13.28
74,Steuart at Market,61,2nd at Townsend,6039,9.59
74,Steuart at Market,70,San Francisco Caltrain (Townsend at 4th),5959,12.17
55,Temporary Transbay Terminal (Howard at Beale),70,San Francisco Caltrain (Townsend at 4th),5796,11.08
50,Harry Bridges Plaza (Ferry Building),70,San Francisco Caltrain (Townsend at 4th),5395,14.31
65,Townsend at 7th,70,San Francisco Caltrain (Townsend at 4th),5358,4.93
64,2nd at South Park,77,Market at Sansome,5337,7.94
70,San Francisco Caltrain (Townsend at 4th),55,Temporary Transbay Terminal (Howard at Beale),5196,12.03
67,Market at 10th,69,San Francisco Caltrain 2 (330 Townsend),5118,10.16
74,Steuart at Market,60,Embarcadero at Sansome,5110,13.21
77,Market at Sansome,64,2nd at South Park,5063,6.71
60,Embarcadero at Sansome,50,Harry Bridges Plaza (Ferry Building),4737,14.63
69,San Francisco Caltrain 2 (330 Townsend),39,Powell Street BART,4492,9.64
