
start_station_id,trips
2,13593
3,2137
4,5308
5,2046
6,4132
7,3066
8,2232
9,2855
10,2911
11,2664
12,1533
13,2374
14,2043
16,1954
21,241
22,2249
23,373
24,272
25,931
26,463
27,4275
28,9059
29,2601
30,1804
31,2377
32,3049
33,1514
34,3281
35,2002
36,1418
37,2162
38,1026
39,25204
41,14351
42,15197
45,16857
46,8608
47,13811
48,15302
49,17062
50,49062
51,21874
54,22525
55,39200
56,23082
57,18962
58,6730
59,10651
60,41137
61,39936
62,23404
63,20746
64,26218
65,34894
66,18278
67,30209
68,14711
69,56100
70,72683
71,16984
72,19145
73,23041
74,38531
75,17837
76,27502
77,35142
80,1283
82,16005
83,467
84,2626
88,20
89,84
90,173
91,69
