
start_hour,subscriber_type,trips
0,Customer,848
0,Subscriber,2081
1,Subscriber,972
1,Customer,639
2,Subscriber,464
2,Customer,413
3,Customer,208
3,Subscriber,397
4,Subscriber,1238
4,Customer,160
5,Subscriber,4795
5,Customer,303
6,Customer,945
6,Subscriber,19574
7,Subscriber,64946
7,Customer,2585
8,Customer,5293
8,Subscriber,127171
9,Customer,6572
9,Subscriber,89546
10,Subscriber,34532
10,Customer,8250
11,Subscriber,29329
11,Customer,11078
12,Subscriber,34442
12,Customer,12508
13,Subscriber,30995
13,Customer,12719
14,Customer,12737
14,Subscriber,25115
15,Subscriber,34820
15,Customer,12806
16,Subscriber,76051
16,Customer,12704
17,Customer,11387
17,Subscriber,114915
18,Subscriber,75798
18,Customer,8771
19,Customer,5556
19,Subscriber,35515
20,Subscriber,19006
20,Customer,3741
21,Customer,2808
21,Subscriber,12450
22,Subscriber,7985
22,Customer,2285
23,Customer,1493
23,Subscriber,4702
